"Fat","Water","Protein"
22.5,60.5,16.7
40.1,46,13.5
8.4,71,20.5
5.9,72.8,20.7
25.5,58.3,15.5
42.7,44,13.7
42.7,44,13.7
10.6,69.3,19.3
19.9,61.4,17.7
19.9,61.4,17.7
46,41.4,12.5
0.9,76.6,21.2
2.9,72.7,21.7
3.5,71.4,21.5
4,69.8,21.3
5.2,74.5,20.2
5.6,73.5,20
6.3,74.1,19.2
7.2,67.3,20.1
7.8,71.8,20.2
7.9,72.45,19.7
9.2,71.6,18.7
9.3,69.4,18.2
10.2,67.9,21.5
12.5,65.5,17
13.5,64.6,16.7
13.5,65.5,16.2
14.6,61.4,15.8
14.6,61.4,15.8
16.3,66.2,17.5
18.6,67.1,11.6
20.9,60.5,17.2
21.2,60.6,17.8
25.1,60.6,11
26.5,57.6,11.1
27.8,53.5,13.2
29.7,56,14.4
30.4,50.3,19.2
31.5,52.5,16
35.2,49.5,15.2
35.8,49.1,15.2
43.8,42.2,13.3
48.2,40.2,11
48.5,39.5,12
49.1,39.3,13.1
8.2,72.5,19.3
11,70.3,19.3
0.9,76.6,21.2
3.6,74,21.6
3.9,75.1,21.2
4,69.8,21.3
5.1,74.6,19.6
5.2,73.1,20.7
5.2,74.5,20.2
5.6,73.4,20.5
5.6,74.2,19.5
6,73.6,20.1
6.4,72.5,20.9
6.4,72.5,20.9
6.4,72.7,20.4
6.6,72.5,20.4
6.6,72.5,20.4
6.7,71.5,21.5
6.8,72.6,19.6
6.9,72.5,20.2
7,69.1,20.5
7.2,72.8,19.5
7.2,72.7,18.9
7.2,72.1,20.5
7.7,71.6,20.7
7.7,71.6,20.7
7.7,70.8,20.8
8.1,72,19.4
8.4,71.2,19.7
8.5,70.3,21
9.6,69.5,20.1
9.7,68.5,21.6
9.7,70.5,19.2
10.1,67.3,20.1
10.1,69.3,20.5
10.1,69.3,20.5
10.9,69.4,19.1
10.9,69.5,19.2
11,67,21.8
11.2,69,19.5
11.2,72.9,13.7
11.7,66.8,19
12.7,68.6,17.8
13.8,71.3,12.6
14,67.3,18.6
15.4,66.7,17.2
15.5,65.9,19.2
15.7,65.6,18.4
16.4,66.2,17.4
16.4,65.6,18
16.4,65,17.4
17.2,64.6,19.4
17.4,63.3,19.2
17.6,64.4,18
18.2,63.6,17.2
18.3,63.1,19.2
18.8,61.7,19.5
20.6,62.4,17.1
21.5,60.3,17.6
23,58,18.7
24.9,58.7,16
26,56.7,16.8
26.1,57.9,15.3
27.3,56.9,15.4
27.8,53.5,13.2
28.1,56.6,15.2
28.7,54.9,14.3
28.8,53.6,18.2
28.9,55.5,15.2
29.2,55.4,15
29.7,56,14.4
30.4,50.3,19.2
31.5,51.6,17.1
32,51.4,16
32.2,52.9,14.1
34.2,51.5,14.9
35.1,50.3,14
35.2,49.5,15.2
36.2,50.6,13.4
36.5,49.6,13.9
37.8,48.6,13.8
44.7,43.9,12.1
45,42.1,11.8
45.7,42.2,11
29.8,54.1,15.7
5.9,72.8,20.7
46,41.4,12.5
1.4,76.1,21.6
4.6,74,20.8
6.4,72.5,20.9
8.5,70.3,21
11,65.7,16.3
13.5,64.6,16.7
17,63.6,19.7
22.4,62.4,11.5
27.9,54.2,17.6
31.5,52.5,16
46.5,41.2,11.1
6.1,71.1,21.5
2,75.6,21.4
4.7,73.9,21.1
5.3,73.5,21.6
6,73.1,19.6
6.4,72.4,20.6
6.8,72.6,19.6
7.1,73.4,18.8
7.3,71.9,20.1
7.8,71.8,20.2
9,70.9,19.9
10,65.7,19.7
10.5,69.2,19.6
11,68.7,20
12.2,67.5,20.1
14,65.2,20.5
15.9,62.7,21
16.5,66.2,17.2
17.7,63.2,19
18.8,61.7,19.5
23.4,60.3,16.3
26.7,56.9,15.6
28.3,55.6,16.3
28.9,55.5,15.2
31.1,53.3,16.3
33.7,52.2,14.2
35.2,49.5,15.2
38.5,48.5,12.2
46.3,42.1,11.5
47.7,40.7,11.8
25.5,58.3,15.5
10.6,69.3,19.3
2,75.6,21.4
4.7,70.7,20.5
6.8,72.6,19.6
8.6,71.5,19.4
11.2,72.9,13.7
13.8,71.3,12.6
17.7,59.7,15.8
23.3,59.8,16.4
29,55.5,16.6
34.8,50.3,14.6
47.8,41,11.6
11.1,65.2,19.2
2.9,72.7,21.7
4.8,72.1,21.6
5.6,73.5,20
6.2,73.6,19.3
6.4,72.5,20.9
6.8,73.4,18.7
7.1,72,19
7.3,73.2,19.9
7.9,71.9,19.1
9.2,69.5,21.5
10.1,67.9,19.5
10.7,71.1,17.7
11.2,65.7,19.4
12.5,68.1,18.6
14.3,66.8,17.4
16,64.7,19
17,63.6,19.7
18.1,63,18.6
19.4,62.5,17.9
24.8,55.3,19.3
27.2,56.6,15.7
28.4,54.4,14.4
29.2,55.4,15
31.3,53.4,15.3
33.8,51.6,13.8
35.5,50.3,13.2
42.5,44.9,12
47.8,41,11.6
